number,question,optionA,optionB,optionC,answer
NO.1,"Universal Containers (UC) wants to assess Salesforce's generative features but has concerns over its company data being exposed to third- party large language models (LLMs). Specifically, UC wants the following capabilities to be part of Einstein's generative AI service. No data is used for LLM training or product improvements by third- party LLMs. No data is retained outside of UC's Salesforce org. The data sent cannot be accessed by the LLM provider. Which property of the Einstein Trust Layer should the AI Specialist highlight to UC that addresses these requirements?",A. Prompt Defense,B. Zero-Data Retention Policy,C. Data Masking,B
NO.2,Universal Containers implemented Agentforce for its users. One user complains that an Agent is not deleting activities from the past 7 days. What is the reason for this issue?,A. Agentforce does not have the permission to delete the user's records.,B. Agentforce Delete Record Action permission is not associated to the user.,C. Agentforce does not have a standard Delete Record action.,C
NO.3,"Based on the user utterance, ""Show me all the customers in New York"", which standard Einstein Copilot action will the planner service use?",A. Query Records,B. Select Records,C. Fetch Records,A
NO.4,Universal Containers wants to use an external large language model (LLM) in Prompt Builder. What should an AI Specialist recommend?,A. Use Apex to connect to an external LLM and ground the prompt.,B. Use BYO-LLM functionality in Einstein Studio.,C. Use Flow and External Services to bring data from an external LLM.,B
NO.5,An AI Specialist is tasked to optimize a business process flow by assigning actions to agents within the Salesforce Agentforce Platform. What is the correct method for the AI Specialist to assign actions to an Agent?,A. Assign the action to a Topic First in Agent Builder.,B. Assign the action to a Topic first on the Agent Actions detail page.,C. Assign the action to a Topic first on Action Builder.,C
NO.6,Universal Containers (UC) is Implementing Service AI Grounding to enhance its customer service operations. UC wants to ensure that its AI- generated responses are grounded in the most relevant data sources. The team needs to configure the system to include all supported objects for grounding. Which objects should UC select to configure Service AI Grounding?,"A. Case, Knowledge, and Case Notes",B. Case and Knowledge,"C. Case, Case Emails, and Knowledge",B
NO.7,Which business requirement presents a good use case for leveraging Einstein Prompt Builder?,A. Forecast future sales trends based on historical data.,B. Identify potential high-value leads for targeted marketing campaigns.,C. Send reply to a request for proposal via a personalized email.,C
NO.8,Universal Containers is evaluating Einstein Generative AI features to improve the productivity of the service center operation. Which features should the AI Specialist recommend?,A. Service Replies and Case Summaries,B. Service Replies and Work Summaries,C. Reply Recommendations and Sales Summaries,A
NO.9,Which configuration must an AI Specialist complete for users to access generative Al-enabled fields in the Salesforce mobile app?,A. Enable Mobile Generative AI.,B. Enable Mobile Prompt Responses.,C. Enable Dynamic Forms on Mobile.,C
NO.10,"Universal Containers (UC) wants to create a new Sales Email prompt template in Prompt Builder using the ""Save As"" function. However, UC notices that the new template produces different results compared to the standard Sales Email prompt due to missing hyperparameters. What should UC do to ensure the new prompt template produces results comparable to the standard Sales Email prompts?",A. Use Model Playground to create a model configuration with the specified parameters.,B. Manually add the hyperparameters to the new template.,C. Revert to using the standard template without modifications.,B
NO.11,"Universal Containers (UC) has a mature Salesforce org with a lot of data in cases and Knowledge articles. UC is concerned that there are many legacy fields, with data that might not be applicable for Einstein AI to draft accurate email responses. Which solution should UC use to ensure Einstein AI can draft responses from a defined data source?",A. Service AI Grounding,B. Work Summaries,C. Service Replies,A
NO.12,"Universal Containers (UC) wants to improve the productivity of its sales team with generative AI technology. However, UC is concerned that public AI virtual assistants lack adequate company data to general useful responses. Which solution should UC consider?",A. fine-tune the Einstein AI model with CBM data.,B. Build Al model with Einstein discovery and deploy to sales users.,C. Enable Agentforce and deploy to sales users.,A
NO.13,Universal Containers (UC) wants to use Flow to bring data from unified Data Cloud objects to prompt templates. Which type of flow should UC use?,A. Data Cloud-triggered flow,B. Template-triggered prompt flow,C. Unified-object linking flow,B
