number,question,optionA,optionB,optionC,optionD,optionE,optionF,answer,explanation
QUESTION NO: 1,"Cloud Kicks (CK) captures all shipping information in a custom object called Shipments__c.
CK's app builder is tasked with creating an approval process to ensure department members
can approve all overnight shipments.
Where should the app builder route the approval request?",A. Hierarchy field,B. Role,C. Public group,,,,C,"Public group is the best option to route the approval request for overnight shipments. Public
groups can include users, roles, or other groups. Queues are used to assign ownership of
records to a group of users, not for approval processes. Hierarchy field and role are not
flexible enough to include only the department members."
QUESTION NO: 2,"The app builder needs to change the data types of new custom fields. The app builder is not
able to delete and recreate any of the fields, nor modify any apex code. Which data type
change will require the app builder to perform the additional steps in order to retain existing
functionalities?",A. Changing the data type of a field used in an apex class from number to text.,B. Changing the data type of a field used in a report from a text to an encrypted field,C. Changing the data type of a field used as an external id from number to text.,,,,A,"Changing the data type of a field used in an apex class from number to text will require the
app builder to perform additional steps in order to retain existing functionalities. This is
because changing the data type of a field may affect the apex code that references or
manipulates the field value, and may cause compilation errors or unexpected results. The
app builder will need to update the apex code to handle the new data type and ensure that
the logic and calculations are still correct. Option B is incorrect because changing the data
type of a field used in a report from a text to an encrypted field will not require additional
steps, as encrypted fields can still be used in reports with some limitations. Option C is
incorrect because changing the data type of a field used as an external id from number to
text will not require additional steps, as external id fields can be either number or text. Option
D is incorrect because changing the data type of a field used in lead conversion from number
to text will not require additional steps, as lead conversion fields can be mapped regardless
of their data types."
QUESTION NO: 3,"An app builder installs an unmanaged package in a full copy sandbox that is an exact match
for production, and now they are ready to install it m production. When the app builder
attempts to install the package in production, it fails.
Why did the package fail to install?",A. Incorrect license types,B. Package features not compatible,C. Object limits exceeded,,,,D,"Apex unit test failures can cause a package installation to fail. According to the Salesforce
documentation, ""If your package contains Apex code, all tests must complete successfully for
your package to install."" Incorrect license types, package features not compatible, and object
limits exceeded are not valid reasons for a package installation failure."
QUESTION NO: 4,"Sales reps at Universal Containers use Salesforce on their mobile devices. They want a way
to odd new contacts quickly and then follow up later to complete the additional Information
necessary.
What mobile solution should an App Builder recommend?",A. Customize the mobile menu to move Contacts to the top.,B. Build a global action to create Contacts.,C. Add a compact layout to Contacts.,,,,B,"The app builder should recommend building a global action to create Contacts. A global
action allows users to create records quickly from any page in Salesforce on their mobile
devices. The app builder can also specify predefined values for some fields in the global
action, such as Account Name or Phone Number, to make data entry easier for users. Option
A is incorrect because customizing the mobile menu to move Contacts to the top does not
help users create new contacts quickly or follow up later. Option C is incorrect because
adding a compact layout to Contacts does not help users create new contacts quickly or
follow up later, but rather shows them more fields on record detail pages or list views. Option
D is incorrect because using Path and setting pre-defined values does not help users create
new contacts quickly or follow up later, but rather guides them through different stages of a
record."
QUESTION NO: 5,"Cloud Kicks wants to set up a new opportunity approval process and execute various action
items based on the initial submission.
Which three action types should an app builder use in the approval process?
Choose 3 answers",A. Email Alert,B. Outbound Message,C. Task,D. Invocable Flow,,,"A,C,D","Email alert, task, and invocable flow are three action types that can be used in an approval
process. Email alert can send an email message to one or more recipients. Task can assign
a task to a user or queue. Invocable flow can launch a flow that performs complex logic and
actions"
QUESTION NO: 6,"Cloud Kicks (CK) wants to set up a custom child object to track gift cards issued to a
customer. A key requirement is to track the total number of gift cards opened and gift cards
issued on an Account. CK wants to permanently ensure the gift cards are unable to be
moved across any other Account once it is created.
On the gift card object, what type of field should be created to support this requirement?",A. Master-detail relationship,B. Roll-up summary,C. Formula,,,,A,"The app builder should create a master-detail relationship field on the gift card object to
support the requirement. A master-detail relationship field creates a parent-child relationship
between two objects, where the master record controls certain behaviors of the detail record.
In this case, the Account object would be the master and the gift card object would be the
detail. By creating a master-detail relationship field, the app builder can meet these
requirements:
Track the total number of gift cards opened and gift cards issued on an Account: This can be
done by creating roll-up summary fields on the Account object that count or sum up the
values from the gift card records related to each account.
Permanently ensure the gift cards are unable to be moved across any other Account once it
is created: This can be done by making the master-detail relationship field required on the gift
card object, which means that every gift card record must be associated with an account
record and cannot be changed once set. Option B, C, and D are not types of fields that can
support this requirement."
QUESTION NO: 7,"Universal Containers wants to display the real-time stock price for each Account on the
Account record page.
How should an app builder implement this request?",A. Create a Lightning Web Component.,B. Install a solution from the AppExchange.,C. Build a Flow that uses API calls.,,,,A,"The best way to implement this request is to create a Lightning Web Component that can
fetch the real-time stock price from an external API and display it on the Account record
page. Installing a solution from the AppExchange may not be feasible as it may not match the
exact requirements or may have additional costs. Building a Flow that uses API calls may not
be efficient as it may consume API limits and may not be able to update the stock price in
real-time. Using a scheduled Apex job may not be suitable as it may not be able to run
frequently enough to reflect the real-time stock price"
QUESTION NO: 8,"Universal containers (uc) want to delete data in several fields for 5000 lead records. UC
export the selected record IDs and fields that need to have data deleted in a csv file. Which
two steps should an app builder suggest to meet these requirements? Choose 2 answers",A. Select the correct record type,B. Use import Wizard to update leads using the CSV file,C. Select insert null values in settings.,,,,"C,D","The two steps that should be suggested to meet these requirements are to select insert null
values in settings and to use Data Loader to update leads using the CSV file. Selecting insert
null values in settings will allow Data Loader to overwrite existing values with null values.
Data Loader is a tool that can import, export, update, or delete large amounts of data."
QUESTION NO: 9,"universal containers has several large customers that sell their products through dealers.
Each customer and dealer have an individual rep who works directly with uc and each is
billed separately. How can an app builder implement these requirements?","A. Create a single account record, add each rep as a contact and create a custom dealer object","B. Create both customer and dealer as accounts, add each rep as a contact on the corresponding account and create an account hierarchy.","C. Create a single parent record, add each rep as a contact to the parent account and add each dealer as a child record",,,,D,"Creating both customer and dealer as accounts, creating account teams on each account
and associating the dealer records with the parent account would allow UC to track each
customer and dealer separately, as well as their relationships and reps. Account hierarchy is
not suitable for this scenario, as it is used to show the relationships among parent and child
accounts within a single company"
QUESTION NO: 10,"Cloud Kicks wants to make sure that users without the Marketing role are unable to update
the Contact Retail Opt In picklist field to Yes.
What validation rule would an app builder use to prevent other users from making this
update?","A. AND( $UserRole.Name != 'Marketing',ISCHANGED(Retail_Opt_In__c), ISPICKVAL(Retail_0pt_In_c,""Yes"") )","B. AND( $UserRole.Name != 'Marketing', Retail_Opt_In_c = ""Yes"" )","C. AND( $UserRole.Name = 'Marketing', ISPICKVAL(Retail_Opt_In_c,""Yes"") )",,,,A,"The validation rule should check if the user role is not Marketing, and if the Retail Opt In field
has been changed to Yes. The ISCHANGED function returns true if the field value has been
changed, and the ISPICKVAL function returns true if the field value matches a specified
picklist value."
